{'loss': 1.103, 'learning_rate': 1.9951602516690988e-05, 'epoch': 0.18}
{'loss': 1.0826, 'learning_rate': 1.9948953342103268e-05, 'epoch': 0.18}
{'loss': 1.1089, 'learning_rate': 1.994623376679758e-05, 'epoch': 0.19}
{'loss': 1.0563, 'learning_rate': 1.9943443810018174e-05, 'epoch': 0.19}
{'loss': 1.1026, 'learning_rate': 1.9940583491507314e-05, 'epoch': 0.19}
{'loss': 1.0103, 'learning_rate': 1.993765283150517e-05, 'epoch': 0.19}
{'loss': 1.085, 'learning_rate': 1.9934651850749663e-05, 'epoch': 0.2}
{'loss': 1.0954, 'learning_rate': 1.9931580570476306e-05, 'epoch': 0.2}
{'loss': 1.1266, 'learning_rate': 1.9928439012418076e-05, 'epoch': 0.2}
{'loss': 1.0982, 'learning_rate': 1.9925227198805247e-05, 'epoch': 0.2}
{'loss': 1.1597, 'learning_rate': 1.9921945152365235e-05, 'epoch': 0.21}
{'loss': 1.0773, 'learning_rate': 1.9918592896322432e-05, 'epoch': 0.21}
{'loss': 1.1095, 'learning_rate': 1.9915170454398045e-05, 'epoch': 0.21}
{'loss': 1.0506, 'learning_rate': 1.9911677850809943e-05, 'epoch': 0.21}
{'loss': 1.0823, 'learning_rate': 1.9908115110272463e-05, 'epoch': 0.22}
{'loss': 1.1116, 'learning_rate': 1.9904482257996244e-05, 'epoch': 0.22}
{'loss': 1.1352, 'learning_rate': 1.990077931968805e-05, 'epoch': 0.22}
{'loss': 1.0741, 'learning_rate': 1.9897006321550592e-05, 'epoch': 0.22}
{'loss': 1.0411, 'learning_rate': 1.9893163290282335e-05, 'epoch': 0.23}
{'loss': 1.0729, 'learning_rate': 1.9889250253077306e-05, 'epoch': 0.23}
{'loss': 1.1372, 'learning_rate': 1.9885267237624923e-05, 'epoch': 0.23}
{'loss': 1.145, 'learning_rate': 1.988121427210976e-05, 'epoch': 0.23}
{'loss': 1.0852, 'learning_rate': 1.98770913852114e-05, 'epoch': 0.24}
{'loss': 1.0974, 'learning_rate': 1.9872898606104175e-05, 'epoch': 0.24}
{'loss': 1.0777, 'learning_rate': 1.9868635964457007e-05, 'epoch': 0.24}
{'loss': 1.122, 'learning_rate': 1.986430349043317e-05, 'epoch': 0.24}
{'loss': 1.0172, 'learning_rate': 1.9859901214690094e-05, 'epoch': 0.25}
{'loss': 1.0889, 'learning_rate': 1.9855429168379127e-05, 'epoch': 0.25}
{'loss': 1.0247, 'learning_rate': 1.985088738314534e-05, 'epoch': 0.25}
{'loss': 1.084, 'learning_rate': 1.9846275891127275e-05, 'epoch': 0.25}
{'loss': 1.1259, 'learning_rate': 1.9841594724956746e-05, 'epoch': 0.26}
{'loss': 0.9769, 'learning_rate': 1.9836843917758593e-05, 'epoch': 0.26}
{'loss': 1.0294, 'learning_rate': 1.983202350315044e-05, 'epoch': 0.26}
{'loss': 1.0959, 'learning_rate': 1.982713351524248e-05, 'epoch': 0.26}
{'loss': 1.0351, 'learning_rate': 1.982217398863721e-05, 'epoch': 0.27}
{'loss': 1.0528, 'learning_rate': 1.98171449584292e-05, 'epoch': 0.27}
{'loss': 1.011, 'learning_rate': 1.9812046460204837e-05, 'epoch': 0.27}
{'loss': 1.1191, 'learning_rate': 1.9806878530042083e-05, 'epoch': 0.27}
{'loss': 1.1422, 'learning_rate': 1.9801641204510216e-05, 'epoch': 0.28}
{'loss': 0.9953, 'learning_rate': 1.9796334520669555e-05, 'epoch': 0.28}
{'loss': 1.0771, 'learning_rate': 1.9790958516071228e-05, 'epoch': 0.28}
{'loss': 1.0172, 'learning_rate': 1.978551322875688e-05, 'epoch': 0.28}
{'loss': 1.0754, 'learning_rate': 1.977999869725842e-05, 'epoch': 0.29}
{'loss': 1.0282, 'learning_rate': 1.977441496059774e-05, 'epoch': 0.29}
{'loss': 0.9951, 'learning_rate': 1.9768762058286433e-05, 'epoch': 0.29}
{'loss': 1.0795, 'learning_rate': 1.976304003032554e-05, 'epoch': 0.29}
{'loss': 1.0677, 'learning_rate': 1.9757248917205228e-05, 'epoch': 0.3}
{'loss': 1.143, 'learning_rate': 1.975138875990454e-05, 'epoch': 0.3}
